"NovaPontoCom_apiId not defined", "NovaPontoCom_apiId não definida"
"missing Product Entity.","não foi encontrada a entidade de produto."
"unrecognized error","erro desconhecido"
"location header not found in the response.","cabeçalho 'location' não encontrado na resposta."
"location header mal formated: '%s'","cabeçalho 'location' mal formatado: '%s'"
"product Entity already synchronized.","entidade do produto já encontra-se sincronizada."
"please configure the brand attribute in System -> Configuration -> Extra.com -> Product Configuration","por favor configure o atributo 'Fabricante' no menu Sistema -> Configuração -> Extra.com -> Configuração do produto"
"field 'Brand' is empty.","campo 'Fabricante' está vazio."
"field 'Weight' cannot be 0.","campo 'Peso' não pode ser 0."
"field 'Width' is empty.","campo 'Largura' não pode ser vazio."
"field 'Length' is empty.","campo 'Comprimento' não pode ser vazio."
"field 'Height' is empty.","campo 'Altura' não pode ser vazio."
"missing 'Location' parameter.","parâmetro 'Location' não encontrado."
"information 'importerInfoId' not found.","informação 'importerInfoId' não encontrada."
"information 'status' not found.","informação 'status' não encontrada."
"information 'statusCode' not found.","informação 'statusCode' não encontrada."
"Product without 'API SKU' data.","Produto não possui o dado SKU da API."
"Use Default","Usar padrão"
"Extra.com Integration","Integração Extra.com"
"Service Status","Status do serviço"
"Last Product Instance","Última instância de produtos"
"Last Order Instance","Última instância de pedidos"
"Service Last Instances","Últimas instâncias do serviço"
"Products","Produtos"
"Orders","Pedidos"
"Instances","Instâncias"
"Quantity","Quantidade"
"Do You really want to do this action?","Você realmente deseja realizar esta ação?"
"Do you want to mark this order as delivered ?", "Você deseja marcar esse pedido como entregue no Extra.com ?"
"Time","Tempo"
"Do You really want to do this action?","Você realmente deseja realizar esta ação?"
"Mark as delivered (Extra.com)","Marcar como entregue (Extra.com)"
"Credit Card","Cartão de Crédito"
"Bank Slip","Boleto Bancário"
"Cupon","Cupom"
"Transfer","Transferência"
"Payed on Extra.com","Pago no Extra.com"
"Extra.com Payment","Pagamento Extra.com"
"Type","Tipo"
"Order created from Extra.com API.","Pedido criado a partir da API do Extra.com."
"User Guide","Manual de Usuário"
"Application Token","Token de Aplicação"
"Authentication Token","Token de Autenticação"
"Order Service Delay","Latência do serviço de Pedidos"
"Product Service Delay","Latência do serviço de Produtos"
"Ticket Service Delay","Latência do serviço de Chamados"
"Default Shipment Method","Método de envio padrão"
"Default Store","Loja Padrão"
"%d minutes","%d minutos"
"%d hours","%d horas"
"Yes","Sim"
"No","Não"
"Settings","Definições"
"General","Geral"
"Customer Configuration","Configurações de Cliente"
"Product Configuration","Configurações de Produto"
"Name","Nome"
"Last Name","Sobrenome"
"Company Name","Empresa"
"Verify","Verificar"
"Individual","Pessoa Física"
"Address","Endereço"
"Choose the customer for the data test:","Escolha o cliente para o teste de dados:"
"Data Test Window","Janela de Teste de Dados"
"Test","Testar"
"Attribute Configuration","Configuração de atributos"
"Width","Largura"
"Default Width","Largura Padrão"
"Height","Altura"
"Default Height","Altura Padrão"
"Length","Comprimento"
"Default Length","Comprimento Padrão"
"Brand","Marca"
"Default Brand","Marca Padrão"
"Module not active","Módulo desativado"
"Shipment #%s sent as 'Sent' to the Extra.com API.","Envio #%s registrado como 'Enviado' na API Extra.com."
"Shipment #%s sent as 'Delivered' to the Extra.com API.","Envio #%s registrado como 'Entregue' na API Extra.com."
"Order status updated from Extra.com API: '%s' to '%s'.","Status do pedido atualizado na API do Extra.com: '%s' to '%s'."
"List","Listagem"
"Errors","Erros"
"Import Order Errors","Erros de Importação de Pedidos"
"Order API ID","ID na API do Extra.com"
"Created At","Criado em"
"Value","Valor"
"Message","Mensagem"
"Customer","Cliente"
"Address","Endereço"
"Has Brand","Possui Marca"
"Unavailable","Indisponível"
"Searching for associated products","Procurando por produtos associados"
"Wait","Aguardar"
"Product added to send queue.","Produto adicionado à fila de envio."
"Waiting to be sent as new","Aguardando para ser enviado como novo"
"Updated At","Atualizado Em"
"Customer Name","Nome do Cliente"
"Add","Adicionar"
"Contact","Contato"
"Cancellation","Cancelamento"
"Could not load product with API ID #","Não foi possível encontrar o produto com ID #"
"Extra.com Order","Pedido do Extra.com"
"Extra.com API ID","ID no Extra.com"
"Protocol","Protocolo"
"Edit","Atendimento"
"Responsible","Responsável"
"User","Usuário"
"Reason","Motivo"
"Protocol Data","Dados do Protocolo"
"New Message","Nova Mensagem"
"Notify Customer by Email","Notificar cliente por e-mail"
"Do You really want to close this ticket?","Você realmente deseja fechar este chamado?"
"Do You really want to confirm the change?","Você realmente deseja confirmar a troca?"
"Close Ticket","Fechar Chamado"
"Confirm Change","Confirmar Troca"
"Ticket successfully closed.","Chamado fechado com sucesso."
"Could not close the ticket: ","Não foi possível fechar o chamado: "
"You need to create a creditmemo to realize that action. Do You want to proceed with the creditmemo creation?","Você precisa criar um reembolso para realizar esta ação. Você deseja prosseguir com a criação de um reembolso?"
"Send change confirmation to Extra.com","Enviar confirmação de troca para o Extra.com"
"Order Item","Item do Pedido"
"Action Type","Tipo de ação"
"Change Product","Trocar produto"
"Account Chargeback","Estorno em conta"
"Credit Card Chargeback","Estorno no cartão"
"Desynchronize Product","Dessincronizar Produto"
"Product successfully desynchronized.","Produto Dessincronizado com sucesso."
"Could not desynchronize product: ","Não foi possível dessincronizar o produto: "
"Do You really want to dessynchronize this product?","Você realmente deseja dessincronizar este produto? Esta ação irá remover todas as referências do produto em relação à API do Extra.com e será necessária um novo envio."
"Version notes","Notas da versão"
"Send product","Enviar produto"
"Brand Type","Tipo do campo da marca"
"Value Fixed","Marca fixa"
"Value Options","Marca diversas"
"Enabled Log to send product","Habilitar log de envio de produto"
